game_id,settled_in,Home_id,Away_id,winner_id,home_hits,home_pp_perc,home_pp_opp,home_FO_perc,home_giveaways,home_takeaways,home_blocked,home_start,away_hits,away_pp_perc,away_pp_opp,away_FO_perc,away_giveaways,away_takeaways,away_blocked,away_start
2016020045,REG,16,4,16,20,0.666666667,3,49.1,16,8,9,left,30,0.5,4,50.9,12,9,11,left
2017020812,OT,7,24,24,17,0.5,2,56.2,5,6,14,right,16,0.333333333,3,43.8,7,4,14,right
2015020314,REG,52,21,21,22,0,2,54.3,13,7,9,left,17,0.333333333,3,45.7,13,5,20,left
2015020849,REG,12,52,12,16,0.4,5,68.6,12,11,13,left,21,0,4,31.4,4,14,16,left
2017020586,REG,24,20,24,15,0.166666667,6,45.3,13,4,21,right,20,0,3,54.7,10,4,7,right
2016020610,REG,8,15,15,27,0.25,4,53.4,12,7,18,left,19,0.5,2,46.6,8,5,24,left
2015020606,REG,26,10,10,23,0,2,43.1,12,2,14,left,24,0.25,4,56.9,6,2,7,left
2017020240,REG,24,23,24,10,0.5,6,52.5,11,6,12,right,11,0,5,47.5,13,5,15,right
2017020624,REG,21,29,21,20,0.333333333,3,42.4,5,5,13,left,12,0,3,57.6,3,8,14,left
2015020346,OT,5,22,22,36,0.25,4,49.4,10,5,12,right,31,0.25,4,50.6,5,2,17,right
2017020221,REG,25,52,52,22,0.25,4,60.3,13,2,14,left,22,0.333333333,3,39.7,3,2,15,left
2016020298,REG,26,2,26,30,0,2,46.6,9,2,19,left,35,0,2,53.4,12,2,17,left
2017020731,OT,53,2,53,25,0,2,53.1,3,4,8,right,23,0,2,46.9,5,3,15,right
2016020205,REG,53,52,53,35,0,1,51,9,9,7,right,21,0,2,49,3,4,11,right
2016020246,REG,4,52,4,32,0,1,55.6,11,10,20,left,32,0,1,44.4,6,11,21,left
2016020107,OT,1,16,16,22,0.25,4,43.3,7,7,16,right,21,0.4,5,56.7,5,5,6,right
2016021020,OT,20,5,20,14,0.333333333,3,49.3,9,12,13,left,8,0.25,4,50.7,10,3,17,left
2017020986,OT,25,14,14,36,0.333333333,3,55.9,16,6,17,left,23,0,3,44.1,8,2,13,left
2017021124,REG,12,22,22,24,0.5,2,60.4,13,17,8,left,19,0,1,39.6,4,8,9,left
2015020981,REG,1,5,5,21,0,3,50.9,7,2,2,right,10,0.25,4,49.1,3,2,7,right
